Accession	Symbol	fold_change	p_value
Q9H2B4	SLC26A1	0.79	0.0033
O95881	TXNDC12	0.97	0.0234
O00330	PDHX	1.03	0.0083
Q96GX9	APIP	1.04	0.0874
Q9UI95	MAD2L2	1.1	0.1671
O76071	CIAO1	1	0.8492
Q53EP0	FNDC3B	1.13	0.0004
Q5XG87	PAPD7	0.97	0.4932
Q13423	NNT	1.99	0
O15066	KIF3B	0.92	0.0034
P62875	POLR2L	1.08	0.0128
P29728	OAS2	5.57	0
Q9UIJ7	AK3	0.99	0.5483
O60942	RNGTT	0.89	0.0082
Q9C0J8	WDR33	0.94	0.0669
Q9UGI8	TES	1.14	0.0156
Q13185	CBX3	1.06	0.0527
Q15750	TAB1	0.96	0.2802
P45974	USP5	0.9	0.02
P04075	ALDOA	1.09	0.0197
O43617	TRAPPC3	0.98	0.4377
Q5XKE5	KRT79	0.46	0.0011
Q9BSJ2	TUBGCP2	1.37	0.0002
Q9Y2S0	POLR1D	0.86	0.007
Q8NHQ8	RASSF8	0.91	0.0059
Q71RC2	LARP4	0.96	0.1403
Q86SQ0	PHLDB2	1.13	0.0016
P31751	AKT2	0.96	0.2105
Q9NYJ1	COA4	1.11	0.0026
Q9ULK4	MED23	0.92	0.12
Q92538	GBF1	1.1	0.0007
P04632	CAPNS1	1.05	0.0523
Q96SL8	FIZ1	1	0.9562
Q6SJ93	FAM111B	0.84	0.0157
O14686	KMT2D	1.02	0.6208
Q96FV9	THOC1	0.81	0.0034
P58546	MTPN	1.1	0.1011
Q9NVV5	AIG1	0.73	0.0087
Q86XK2	FBXO11	1.16	0.0093
Q9HA77	CARS2	1.39	0.0002
Q53T59	HS1BP3	1.28	0.0012
P83436	COG7	1.44	0.0001
A5PKW4	PSD	0.74	0.273
Q92581	SLC9A6	0.89	0.0804
Q05639	EEF1A2	0.41	0.0011
Q5M9N0	CCDC158	0.83	0.0113
Q6IC98	GRAMD4	0.71	0.0245
Q12979	ABR	0.88	0.0025
Q9P0P8	C6orf203	1.07	0.1409
Q9H5N1	RABEP2	1.14	0.0405
Q8N5A5	ZGPAT	0.93	0.024
Q14C86	GAPVD1	1.27	0
Q9Y6D5	ARFGEF2	1.08	0.0978
Q15434	RBMS2	1.08	0.0097
Q9P0T7	TMEM9	1.29	0.0095
O75386	TULP3	0.78	0.0044
P26641	EEF1G	0.81	0.0031
Q9UJX6	ANAPC2	1.24	0.0152
P51970	NDUFA8	1.22	0.0004
Q4G0F5	VPS26B	0.97	0.3493
Q9P2K6	KLHL42	1.27	0.0681
Q9BQ67	GRWD1	0.94	0.0025
P11586	MTHFD1	0.74	0.0063
Q8TCU4	ALMS1	0.99	0.7718
Q08AM6	VAC14	1.11	0.0132
O14879	IFIT3	5.23	0.0001
P78549	NTHL1	1.12	0.205
P0C851	PIRT	0.88	0.0127
Q86XN8	MEX3D	1.26	0.0024
Q9UPS8	ANKRD26	0.81	0.0089
Q9BW66	CINP	1.05	0.0871
Q8WUA8	TSKU	0.9	0.2712
Q9Y259	CHKB	0.92	0.0013
P30154	PPP2R1B	0.99	0.4724
Q92805	GOLGA1	1.48	0.0001
Q9BYG5	PARD6B	0.82	0.0052
Q99729	HNRNPAB	1.23	0.0008
Q8TEL6	TRPC4AP	1.06	0.0646
P27540	ARNT	0.65	0.0003
Q00872	MYBPC1	1.83	0.0016
Q5T280	C9orf114	1.09	0.0837
Q96BX8	MOB3A	1.07	0.0251
P53597	SUCLG1	1.16	0.0013
O75381	PEX14	1.1	0.043
P46977	STT3A	1.11	0.006
P10644	PRKAR1A	0.95	0.0461
P51805	PLXNA3	1.19	0.0489
Q9Y4G6	TLN2	1.16	0.0475
O15498	YKT6	1.58	0
Q8WVK2	SNRNP27	1.02	0.3462
Q9BRT3	MIEN1	1.01	0.8936
Q53SF7	COBLL1	1.26	0.0008
Q9H173	SIL1	1.18	0.0065
Q6JQN1	ACAD10	1.01	0.8103
Q08623	PUDP	1.05	0.1045
Q9UBS4	DNAJB11	0.9	0.0028
Q6PIJ6	FBXO38	1.23	0.0437
P61026	RAB10	1.01	0.4232
P08476	INHBA	2.09	0.002
Q8TED0	UTP15	0.93	0.0503
Q96AP0	ACD	0.97	0.1017
Q7L5N7	LPCAT2	0.81	0.0003
Q5SZL2	CEP85L	1.09	0.2627
P62633	CNBP	0.92	0.3338
Q07889	SOS1	1	0.8616
O43815	STRN	1.11	0.0004
O76080	ZFAND5	1.79	0.0005
Q9BVS4	RIOK2	0.96	0.0161
Q9UL54	TAOK2	1.12	0.0267
Q15047	SETDB1	0.73	0
Q9UHL4	DPP7	1.83	0
Q9Y496	KIF3A	0.94	0.0004
P15407	FOSL1	0.84	0.0032
Q9H1E3	NUCKS1	0.58	0.002
